JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Assurance Senior Associate [Affordable Housing],CohnReznick,"Charlotte, NC 28202 (Fourth Ward area)",Today,2022-06-25,"Serving as the engagement lead on specific client accounts, taking responsibility for pre-engagement planning, execution and final deliverables.",$74.4K - $94.2K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
"Senior, Revenue Accountant",3D Systems,"Hybrid remote in Rock Hill, SC 29730",Posted 30+ days ago,2022-06-25,"The Senior Revenue Accountant will be an experienced and passionate revenue professional who will work closely with Sales, Sales Operations, Order Management,…",$74.4K - $94.2K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Corporate Accountant,LendingTree,"Charlotte, NC",Posted 30+ days ago,2022-06-25,"Monthly responsibilities are subject to change as processes evolve and resource allocations are reset. Very strong in Excel, current with new functionalities.",$82.5K - $104K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Premier Accounting Senior Analyst,Accenture,"Charlotte, NC 28244 (Downtown Charlotte area)",Posted 1 day ago,2022-06-25,"Public accounting firm experience or similar. Strong computer skills a firm working knowledge of Excel, Access and financial systems applications a plus .",,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Staff Accountant,River Rock Capital Partners,"Mooresville, NC 28117",Posted 30+ days ago,2022-06-25,Select invoices and print payments as needed for entities. We are looking to find candidates with financial and analytical experience who are highly motivated…,$57.5K - $72.9K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Fund Accountant,Citco,"Charlotte, NC 28244 (Fourth Ward area)",Posted 30+ days ago,2022-06-25,You will form part of a professional team responsible for maintaining the books and records of the funds & preparing fund financial reports and investor…,$74.1K - $93.9K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Internal Auditor (Charlotte),Allspring Global Investments,"Charlotte, NC",Posted 30+ days ago,2022-06-25,The successful candidate will work closely with other senior leaders across Allspring in the development and execution of company control strategies.,$145K - $184K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Property Accountant,Lincoln Harris,"Hybrid remote in Charlotte, NC",Posted 30+ days ago,2022-06-25,High proficiency in Excel is desired. Monitors cash and ensures that critical payments are made timely and prepares funding reports as needed.,$71.4K - $90.4K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Property Accountant,Colliers International,"Charlotte, NC",Posted 30+ days ago,2022-06-25,You also thrive on sharing your knowledge and participate in training for new accountants. You thrive on working within deadlines and providing strong financial…,,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
SR. STAFF ACCOUNTANT,Compass Corporate,"Charlotte, NC 28217 (Eagle Lake area)",Posted 8 days ago,2022-06-25,"Perform month-end transactional close tasks including supplier passbacks for complex RPA and manual files, cash applications and journal entries to ensure…",,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
